,molecule_chembl_id,IC50,units,SMILES,pIC50,activity_label,ML_activity_label
1350,CHEMBL4082466,32.0,nM,Nc1ccccc1NC(=O)c1ccc(NC(=O)CCN2C(=O)C3(OCCCO3)c3cc(Cl)ccc32)cc1,7.494850021680094,active,1
1351,CHEMBL3356927,32.0,nM,O=C1NC[C@H](c2ccccc2)[C@@H]1C(=O)N[C@@H](CCCCCS)C(=O)Nc1ccccc1,7.494850021680094,active,1
1352,CHEMBL5080120,32.0,nM,CN1c2ccc(F)cc2C(=O)N2CCc3c([nH]c4ccc(OCc5ccc(C(=O)NO)cc5)cc34)C21,7.494850021680094,active,1
1353,CHEMBL3098606,32.0,nM,Cc1ccc(NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCC(=O)N2)cc1,7.494850021680094,active,1
1354,CHEMBL3930328,32.0,nM,O=C(CCCCNC(=O)c1nc(-c2ncc(-c3ccccc3)s2)sc1C1CC1)NO,7.494850021680094,active,1
1355,CHEMBL5266011,32.0,nM,COC(=O)/C=C/c1ccc(OCCNc2cc3c([nH]c4ccccc43)c(-c3ccc(OC)cc3)n2)c(OC)c1,7.494850021680094,active,1
1356,CHEMBL472671,32.0,nM,O=C(Nc1cc(-c2ccccc2)ccc1O)c1ccc(CNCc2cccnc2)cc1,7.494850021680094,active,1
1357,CHEMBL1822046,32.27,nM,CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2ccc(=O)oc12,7.491201034596095,active,1
1358,CHEMBL4282456,32.4,nM,CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(NC(=O)CCCCCCC(=O)NO)c3)n2)cc1.Cl,7.489454989793388,active,1
1359,CHEMBL3339027,32.87,nM,CCN(CC)c1ccc(Nc2ncnc3sc(NC(=O)CCCCCCC(=O)NO)cc23)cc1,7.483200295918375,active,1
1360,CHEMBL4086442,32.9,nM,CCCNNC(=O)c1ccc(CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OC)cc2)cc1,7.482804102050026,active,1
1361,CHEMBL513061,33.0,nM,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CN2CCC3(CCNC3)CC2)cc1,7.481486060122112,active,1
1362,CHEMBL3664118,33.0,nM,CN(CCc1ccncc1)Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2O)cc1,7.481486060122112,active,1
1363,CHEMBL3664125,33.0,nM,O=C(Nc1cc(-c2ccccc2)ccc1O)c1ccc(CNCCn2cccn2)cc1,7.481486060122112,active,1
1364,CHEMBL4437428,33.0,nM,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2ccncc2)cc1,7.481486060122112,active,1
1365,CHEMBL3098694,33.0,nM,O=C(CCCCC[C@H](NC(=O)C1C(=O)NCC1c1ccccc1)C(=O)Nc1ccccc1)NO,7.481486060122112,active,1
1366,CHEMBL512644,33.0,nM,O=C(CCCCCCC(=O)Nc1ccc(-c2ccccc2)cc1)NO,7.481486060122112,active,1
1367,CHEMBL4089517,33.0,nM,Nc1ccccc1NC(=O)c1ccc(CNC(=O)c2cc3cccnc3[nH]2)cc1,7.481486060122112,active,1
1368,CHEMBL217781,33.0,nM,COc1cccc(NC(=O)[C@H](CCCCCC(C)=O)NC(=O)c2cncs2)c1,7.481486060122112,active,1
1369,CHEMBL3335300,33.0,nM,O=C(CCCCc1ccn(Cc2ccc(-c3ccccc3)cc2)n1)NO,7.481486060122112,active,1
1370,CHEMBL3961733,33.0,nM,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(C(=O)Nc3ccc(F)cc3)CC2)nc1,7.481486060122112,active,1
1371,CHEMBL2048751,33.2,nM,O=C(/C=C/c1ccc2c(ccn2S(=O)(=O)c2ccc(F)cc2)c1)NO,7.478861916295964,active,1
1372,CHEMBL3354920,33.2,nM,COc1ccccc1C(=O)N[C@H](COc1cccc(/C=C/C(=O)NO)c1)Cc1c[nH]c2ccccc12,7.478861916295964,active,1
1373,CHEMBL4299407,33.3,nM,CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@](O)(CN(C)C)[C@@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@@](C)(OC)C[C@H](C)C(=O)[C@@H](C)[C@@H](O)[C@@]1(C)O,7.47755576649368,active,1
1374,CHEMBL520056,33.4,nM,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2-c2ccccc2)c1)NO,7.476253533188435,active,1
